id;nome;ativo
454;FACULDADE CAMAQUENSE DE CIENCIAS CONTABEIS E ADMINISTRATIVAS;1
455;FACULDADE DE FORMACAO DE PROFESSORES E ESPECIALISTAS DE EDUCACAO;0
456;CENTRO UNIVERSITARIO SANT?ANNA;1
457;UNIVERSIDADE ANHANGUERA DE SAO PAULO;1
458;UNIVERSIDADE IBIRAPUERA;1
459;FACULDADE RENASCENCA;0
460;FACULDADE DE ARTES PLASTICAS DA FUNDACAO ARMANDO ALVARES PENTEADO;0
461;CENTRO UNIVERSITARIO ARMANDO ALVARES PENTEADO;1
462;FACULDADE DE ENGENHARIA DA FUNDACAO ARMANDO ALVARES PENTEADO;0
463;FACULDADE DE COMUNICACAO E MARKETING DA FUNDACAO ARMANDO ALVARES PENTEADO;0
464;FACULDADE DE ECONOMIA DA FUNDACAO ARMANDO ALVARES PENTEADO;0
465;FACULDADE DE COMPUTACAO E INFORMATICA DA FUNDACAO ARMANDO ALVARES PENTEADO;0
466;UNIVERSIDADE ANHEMBI MORUMBI;1
467;FACULDADE DE CIENCIAS CONTABEIS DE ITAPETININGA;0
468;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE ITAPETININGA;0
469;ABEU FACULDADES INTEGRADAS;0
470;FACULDADE DE ODONTOLOGIA DE NOVA FRIBURGO;0
472;UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSE DE SOUZA HERDY;1
473;CENTRO UNIVERSITARIO DOM BOSCO DO RIO DE JANEIRO;1
474;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DOM BOSCO;1
475;FACULDADE DE MEDICINA DE PETROPOLIS;1
480;CENTRO UNIVERSITARIO SERRA DOS ORGAOS;1
481;UNIVERSIDADE UNIVERSUS VERITAS GUARULHOS;1
482;UNIVERSIDADE DO EXTREMO SUL CATARINENSE;1
483;CENTRO UNIVERSITARIO METROPOLITANO DE SAO PAULO;1
486;FACULDADE DE FORMACAO DE PROFESSORES DE ARAPIRACA;0
487;FACULDADE DE ADMINISTRACAO CIENCIAS CONTABEIS JURIDICAS E SOCIAIS DO ESTADO DE ALAGOAS;0
488;ESCOLA SUPERIOR DE CIENCIAS HUMANAS FISICAS E BIOLOGICAS DO SERTAO;0
489;CENTRO UNIVERSITARIO DE VOLTA REDONDA;1
490;CENTRO UNIVERSITARIO DE VALENCA;1
491;CENTRO UNIVERSITARIO DON DOMENICO;1
492;FACULDADE DE ADMINISTRACAO CIENCIAS ECON E CONTABEIS DE GUARATINGUETA;1
493;FACULDADE DE EDUCACAO DE GUARATINGUETA;1
494;UNIVERSIDADE DO SUL DE SANTA CATARINA;1
495;FACULDADE DE CIENCIAS E LETRAS DE BRAGANCA PAULISTA;1
496;UNIVERSIDADE DE FRANCA;1
498;ESCOLA SUPERIOR DE EDUCACAO FISICA E DESPORTOS DE CATANDUVA;0
499;FACULDADE DE DIREITO E ADMINISTRACAO CATANDUVA;0
500;FACULDADE DE MEDICINA DE CATANDUVA;0
501;ESCOLA SUPERIOR DE CIENCIAS DA SANTA CASA DE MISERICORDIA DE VITORIA;1
502;CENTRO UNIVERSITARIO SAO JUDAS TADEU;1
503;FACULDADE DE DIREITO DE CAMPOS;0
504;FACULDADE DE ODONTOLOGIA DE CAMPOS;0
505;FACULDADE DE FILOSOFIA DE CAMPOS;0
506;FACULDADE DE MEDICINA DE CAMPOS;1
